GeoFips,GeoName,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
55000,Wisconsin,222978.5,232087.1,242026,248572,252941.8,257966.9,265745.8,275412.4,282065.7,287146.6,289855.2,286204.7,277279.4,287652.9,293664,299007.6,301550.5,309425.8,315687.8,319272.3,321886.8,328832.4,333698.6,322972.7,334517.3,335688.5,336460.6
56000,Wyoming,24257.7,24804.7,25866.8,26614.2,28338.1,28901.3,29806.6,30780.1,32463.1,36655.6,39504.8,41641.2,40599.6,39135.8,38929.8,38085,38408.7,39287.2,40063.9,37853.5,37620.3,37977.2,38558.2,36181.3,36929.5,37294.2,39322
91000,New England,689814.2,717953.5,750272.1,803964.8,815552.4,819333.7,837234.3,871834.4,889361.4,914340.5,936059.9,941279.2,920013.4,948885.3,954794.9,968580.1,968966.6,982746.2,1013587.5,1023574.2,1039545.4,1062478,1084356.2,1055848.3,1116077.9,1140307.6,1160814.1
92000,Mideast,2438052.9,2502639,2614464.5,2713231.6,2771541.7,2784056.2,2829745.8,2907954.7,2976619.3,3029492,3077936.8,3089355.4,3092498.2,3194703.1,3219506.5,3301294,3334509.2,3395872.9,3465391,3518584.5,3572774.4,3647342.2,3715334.9,3582052.5,3741297.6,3814224.4,3862616.5
93000,Great Lakes,2012225.1,2082506.9,2163842.2,2223891.3,2203149.1,2243919,2296970.5,2363124.3,2408650.1,2425979.7,2450466.5,2403346,2284891.9,2368842.3,2421624.4,2463334,2505982.4,2569254.7,2606191.6,2632446.9,2669538.3,2722152.2,2754723.6,2649399.5,2788918.8,2825277.1,2859299.7
94000,Plains,820782,847987.9,872881.4,910542.9,910419.4,930798.8,965431.8,1002489.7,1032697.3,1047757.6,1071799.7,1092075.7,1064276,1096010.4,1120460.1,1149893.6,1167911.5,1202106.7,1227189.3,1237736.4,1250759.3,1274025.8,1287230.5,1264481.3,1320363.1,1335231.8,1369260
95000,Southeast,2734719.5,2866446.2,3001079.3,3072356.4,3118856.9,3195086.7,3312051.6,3473548.7,3634909.9,3726096.7,3752274.3,3738925.1,3611267.9,3695420.2,3716013.1,3762626.3,3828029.9,3902765.3,4011954.3,4102066.9,4210089.2,4315633.4,4414688.9,4338850.1,4611709.5,4735643.3,4883068.5
96000,Southwest,1217038.5,1296677.8,1356476.3,1404915.7,1446381.5,1480277.7,1510596.5,1592175.9,1648724.3,1754561.8,1832803.4,1833232.9,1808209.6,1851648.8,1912613.8,1996352,2075730.9,2140042.2,2229860.4,2235958.6,2286160.7,2385042.1,2462457.7,2423335.5,2557665.7,2620456.6,2754851.3
97000,Rocky Mountain,368387,394624.2,418719.2,447007.7,453118.5,459318.5,467703.7,484373.5,511144.3,533204.6,555985.3,563305.6,549726.5,557538.3,567498,574357.6,594720.7,617617.8,641499.1,655672.6,681310.1,712372.1,746391.6,744870.4,794824.1,812969.2,836705.7
98000,Far West,2043143.4,2168490.8,2319359.7,2469130.3,2463451,2514956.9,2609835.8,2705895,2835774.9,2947201.5,3026963.1,3056662.3,2948080.1,3010545.7,3066026,3148430.2,3249257.6,3360531.4,3516768.4,3629300.3,3797440.5,3956948,4108525.8,4048649.6,4342903,4385657.8,4497211.4
